PROVINCE,DISTRICT,Cluster,HI04,HI05,TYPEHH,HH_WT,C_hhweight,G01,G02,G02A,G02B,G28,G29,G30,G31,G32,G33,G34,G35A,G35B,G36A,G36B,G37A,G37B,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G48_AREA_OTHER,G49_SQUARE,G49_L,G49_W,G49_CERCLE,G50,G51,G52,G53,G54,G54_OTHER,G55_1,G55_2,G55_3,G55_4,G55_5,G55_6,G55_7,G55_8,G55_9,G55_10,G55_OTHER
Kigali City,Gasabo,28,Urban,12,Ordinary HH,724.7504999999999,764.4556375692849,04,60,Yes,No,,,,,,,,No,,Yes,More than half the time,Yes,More than half the time,Agree,Strongly Agree,No Opinion,No Opinion,Strongly Agree,Disagree,Disagree,Agree,Yes,Yes,Roughly square,,3,,,,Flat,3,2,Yes,Fuel used,,,,,,,,,,,, 
Kigali City,Gasabo,28,Urban,13,Ordinary HH,724.7504999999999,764.4556375692849,01,60,Yes,No,,,,,,,,Yes,Never,Yes,Always,No,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Yes,Yes,Roughly rectangular,,,4,3,,Flat,3,1,Yes,Easy to use,,,,,,,,,,,, 
Kigali City,Gasabo,28,Urban,14,Ordinary HH,724.7504999999999,764.4556375692849,02,180,Yes,No,,,,,,,,No,,Yes,Never,No,,No Opinion,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,No,,,,,,,,,,,,Fuel savings,,,,,,,,,,,, 
Kigali City,Gasabo,28,Urban,15,Ordinary HH,724.7504999999999,764.4556375692849,01,90,Yes,No,Traditional/Locally built stove,Traditional/Locally built stove,Traditional/Locally built stove,Traditional/Locally built stove,Traditional/Locally built stove,Traditional/Locally built stove,Traditional/Locally built stove,No,,Yes,Never,No,,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Yes,Yes,Roughly square,,2,,,,Flat,2,1,Yes,Price,,,,,,,,,,,, 
Kigali City,Gasabo,28,Urban,16,Ordinary HH,724.7504999999999,764.4556375692849,02,360,Yes,No,,,,,,,,Yes,Never,Yes,Always,Yes,Never,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
Kigali City,Gasabo,28,Urban,17,Ordinary HH,724.7504999999999,764.4556375692849,02,180,Yes,No,LPG stove,LPG stove,Traditional/Locally built stove,LPG stove,Traditional/Locally built stove,Traditional/Locally built stove,LPG stove,No,,No,,No,,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Yes,Yes,Roughly rectangular,,,3,3,,Flat,3,2,No,Cleanliness,,,,,,,,,,,, 
Kigali City,Gasabo,28,Urban,18,Ordinary HH,724.7504999999999,764.4556375692849,02,120,Yes,Yes,,,,,,,,No,,No,,No,,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
Kigali City,Gasabo,29,Urban,1,Ordinary HH,467.7392,418.4673330402808,01,120,Yes,Yes,Electric stove,Electric stove,Electric stove,Electric stove,Electric stove,Electric stove,Electric stove,Yes,Less than half the time,Yes,Less than half the time,Yes,Never,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,No,Roughly square,,2,,,,Flat,6,1,Yes,Speed to cook,,,,,,,,,,,, 
Kigali City,Gasabo,29,Urban,2,Ordinary HH,467.7392,418.4673330402808,01,120,Yes,Yes,LPG stove,LPG stove,LPG stove,LPG stove,LPG stove,LPG stove,LPG stove,Yes,Always,Yes,Always,No,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,No,Roughly square,,3,,,,Flat,5,1,Yes,Speed to cook,,,,,,,,,,,, 
Kigali City,Gasabo,29,Urban,3,Ordinary HH,467.7392,418.4673330402808,02,60,Yes,No,,,,,,,,Yes,Never,Yes,Never,Yes,Never,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,No Opinion,No Opinion,Disagree,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
Kigali City,Gasabo,29,Urban,4,Ordinary HH,467.7392,418.4673330402808,03,180,Yes,No,,,,,,,,No,,No,,No,,Disagree,Disagree,Disagree,No Opinion,Agree,Disagree,No Opinion,Disagree,No,,,,,,,,,,,,Easy to use,,,,,,,,,,,, 
Kigali City,Gasabo,29,Urban,5,Ordinary HH,467.7392,418.4673330402808,06,120,Yes,Yes,,,,,,,,Yes,Never,No,,No,,Strongly Agree,Agree,No Opinion,No Opinion,No Opinion,Agree,No Opinion,Agree,No,,,,,,,,,,,,Easy to use,,,,,,,,,,,, 
Kigali City,Gasabo,29,Urban,6,Ordinary HH,467.7392,418.4673330402808,02,240,Yes,No,,,,,,,,No,,Yes,Always,Yes,Always,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
Kigali City,Gasabo,29,Urban,7,Ordinary HH,467.7392,418.4673330402808,02,60,Yes,No,,,,,,,,No,,Yes,Always,No,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,No,,,,,,,,,,,,Speed to cook,,,,,,,,,,,, 
Kigali City,Gasabo,29,Urban,8,Ordinary HH,467.7392,418.4673330402808,01,180,Yes,No,,,,,,,,Yes,Never,Yes,About half the time,No,,No Opinion,Strongly Agree,No Opinion,No Opinion,Disagree,No Opinion,Disagree,No Opinion,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Gasabo,29,Urban,9,Ordinary HH,467.7392,418.4673330402808,02,180,Yes,No,,,,,,,,Yes,Never,Yes,About half the time,No,,Disagree,Strongly Agree,Agree,Agree,Disagree,Disagree,Disagree,No Opinion,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Gasabo,29,Urban,10,Ordinary HH,467.7392,418.4673330402808,02,120,Yes,No,,,,,,,,No,,No,,No,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,No Opinion,Agree,No,Yes,"Other, estimate the area in meters",4,,,,,None of the above,3,0,Yes,Price,,,,,,,,,,,, 
Kigali City,Gasabo,29,Urban,11,Ordinary HH,467.7392,418.4673330402808,01,120,Yes,Yes,,,,,,,,No,,Yes,Less than half the time,No,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,,,,,,,,,,,,Speed to cook,,,,,,,,,,,, 
Kigali City,Gasabo,29,Urban,12,Ordinary HH,467.7392,418.4673330402808,02,120,Yes,No,,,,,,,,No,,No,,No,,No Opinion,Strongly Agree,No Opinion,Agree,Strongly Agree,No Opinion,Strongly Agree,Strongly Agree,Yes,No,Roughly rectangular,,,2,2,,Flat,2,1,Yes,Easy to use,,,,,,,,,,,, 
Kigali City,Gasabo,29,Urban,13,Ordinary HH,467.7392,418.4673330402808,04,240,Yes,No,LPG stove,LPG stove,Manufactured biomass stove,LPG stove,Manufactured biomass stove,Manufactured biomass stove,LPG stove,Yes,Never,Yes,Never,No,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Agree,Yes,Yes,Roughly rectangular,,,4,3,,Flat,3,3,Yes,Fuel used,,,,,,,,,,,, 
Kigali City,Gasabo,29,Urban,14,Ordinary HH,467.7392,418.4673330402808,01,120,Yes,No,,,,,,,,Yes,Never,No,,No,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Yes,Yes,Roughly rectangular,,,3,3,,Flat,3,1,Yes,Fuel used,,,,,,,,,,,, 
Kigali City,Gasabo,29,Urban,15,Ordinary HH,467.7392,418.4673330402808,01,120,Yes,No,LPG stove,Manufactured biomass stove,Manufactured biomass stove,LPG stove,Manufactured biomass stove,LPG stove,LPG stove,Yes,Never,Yes,About half the time,No,,Disagree,Strongly Agree,Strongly Agree,No Opinion,Agree,Disagree,Disagree,No Opinion,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Gasabo,29,Urban,16,Ordinary HH,467.7392,418.4673330402808,02,60,Yes,No,,,,,,,,No,,No,,No,,Don't know,Disagree,Disagree,Strongly Disagree,Agree,Agree,No Opinion,Disagree,Yes,Yes,"Other, estimate the area in meters",4,,,,,None of the above,4,0,Yes,Price,,,,,,,,,,,, 
Kigali City,Gasabo,29,Urban,17,Ordinary HH,467.7392,418.4673330402808,01,60,Yes,No,,,,,,,,No,,Yes,More than half the time,No,,Agree,Strongly Agree,Agree,Don't know,Agree,Don't know,Disagree,Agree,Yes,No,Roughly square,,2,,,,Flat,2,0,Yes,Price,,,,,,,,,,,, 
Kigali City,Gasabo,29,Urban,18,Ordinary HH,467.7392,418.4673330402808,02,120,Yes,No,,,,,,,,No,,Yes,More than half the time,No,,Strongly Agree,Strongly Agree,Agree,Don't know,Disagree,Don't know,Don't know,No Opinion,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
Kigali City,Gasabo,30,Rural,1,Ordinary HH,396.838,421.8862503944313,02,30,Yes,,,,,,,,,No,,No,,No,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,,,,,,,,,,,,Speed to cook,,,,,,,,,,,, 
Kigali City,Gasabo,30,Rural,2,Ordinary HH,396.838,421.8862503944313,02,120,Yes,,,,,,,,,No,,Yes,About half the time,No,,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
Kigali City,Gasabo,30,Rural,3,Ordinary HH,673.5323853211009,666.4855236146118,02,50,Yes,,,,,,,,,No,,No,,No,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
Kigali City,Gasabo,30,Rural,4,Ordinary HH,396.838,421.8862503944313,01,60,Yes,,,,,,,,,Yes,More than half the time,Yes,About half the time,No,,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Yes,Yes,Roughly square,,3,,,,Flat,5,2,Yes,Speed to cook,,,,,,,,,,,, 
Kigali City,Gasabo,30,Rural,5,Ordinary HH,396.838,421.8862503944313,01,60,Yes,,,,,,,,,No,,No,,No,,Agree,Disagree,No Opinion,Agree,Disagree,Agree,Agree,Agree,Yes,Yes,Roughly square,,4,,,,Flat,2,3,Yes,Price,,,,,,,,,,,, 
Kigali City,Gasabo,30,Rural,6,Ordinary HH,396.838,421.8862503944313,02,120,Yes,,,,,,,,,Yes,Did not cook beans in the last 7 days,Yes,About half the time,Yes,Did not cook beans in the last 7 days,Agree,Agree,No Opinion,Agree,No Opinion,No Opinion,No Opinion,No Opinion,Yes,No,Roughly rectangular,,,3,2,,Flat,3,1,Yes,Easy to use,,,,,,,,,,,, 
Kigali City,Gasabo,30,Rural,7,Ordinary HH,396.838,421.8862503944313,02,60,Yes,,,,,,,,,Yes,Never,Yes,Never,No,,Disagree,Strongly Agree,Don't know,Don't know,Don't know,Don't know,Disagree,Don't know,Yes,Yes,Roughly rectangular,,,3,2,,Flat,3,1,Yes,Fuel used,,,,,,,,,,,, 
Kigali City,Gasabo,30,Rural,8,Ordinary HH,673.5323853211009,666.4855236146118,02,60,Yes,,,,,,,,,No,,No,,No,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
Kigali City,Gasabo,30,Rural,9,Ordinary HH,396.838,421.8862503944313,03,180,Yes,,,,,,,,,No,,Yes,More than half the time,No,,Strongly Agree,Agree,Agree,Agree,No Opinion,No Opinion,Disagree,Disagree,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Gasabo,30,Rural,10,Ordinary HH,396.838,421.8862503944313,02,120,Yes,,LPG stove,LPG stove,LPG stove,LPG stove,LPG stove,LPG stove,LPG stove,No,,No,,No,,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Disagree,Agree,No,,,,,,,,,,,,Speed to cook,,,,,,,,,,,, 
Kigali City,Gasabo,30,Rural,11,Ordinary HH,396.838,421.8862503944313,02,120,Yes,,,,,,,,,Yes,Never,Yes,Always,Yes,Never,Don't know,Strongly Agree,Agree,Don't know,Disagree,Agree,Disagree,Agree,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
Kigali City,Gasabo,30,Rural,12,Ordinary HH,396.838,421.8862503944313,02,360,Yes,,,,,,,,,Yes,Never,Yes,Never,Yes,About half the time,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Yes,Yes,Roughly rectangular,,,3,2,,Flat,3,2,Yes,Speed to cook,,,,,,,,,,,, 
Kigali City,Gasabo,30,Rural,13,Ordinary HH,673.5323853211009,666.4855236146118,01,40,No,,,,,,,,,No,,No,,No,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,,,,,,,,,,,,Cleanliness,,,,,,,,,,,, 
Kigali City,Gasabo,30,Rural,14,Ordinary HH,396.838,421.8862503944313,03,180,Yes,,,,,,,,,No,,Yes,About half the time,No,,Agree,Agree,No Opinion,Agree,No Opinion,No Opinion,Agree,No Opinion,Yes,Yes,Roughly square,,2,,,,Flat,3,2,Yes,Easy to use,,,,,,,,,,,, 
Kigali City,Gasabo,30,Rural,15,Ordinary HH,396.838,421.8862503944313,02,240,Yes,,,,,,,,,Yes,Never,Yes,Never,Yes,Never,Disagree,No Opinion,Strongly Disagree,Disagree,No Opinion,Agree,Strongly Disagree,Strongly Disagree,Yes,Yes,Roughly rectangular,,,3,2,,Flat,3,2,Yes,Speed to cook,,,,,,,,,,,, 
Kigali City,Gasabo,30,Rural,16,Ordinary HH,396.838,421.8862503944313,02,90,No,,,,,,,,,Yes,About half the time,Yes,About half the time,No,,Strongly Agree,Disagree,Agree,No Opinion,Agree,No Opinion,Agree,No Opinion,No,,,,,,,,,,,,Easy to use,,,,,,,,,,,, 
Kigali City,Gasabo,30,Rural,17,Ordinary HH,396.838,421.8862503944313,02,120,No,,,,,,,,,Yes,Never,Yes,About half the time,Yes,Never,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,No,,,,,,,,,,,,Speed to cook,,,,,,,,,,,, 
Kigali City,Gasabo,30,Rural,18,Ordinary HH,396.838,421.8862503944313,02,60,Yes,,,,,,,,,No,,Yes,Less than half the time,No,,Agree,Agree,Don't know,Don't know,Don't know,No Opinion,Agree,Don't know,Yes,Yes,Roughly square,,4,,,,Flat,2,3,Yes,Price,,,,,,,,,,,, 
Kigali City,Gasabo,31,Urban,1,Ordinary HH,15.96942875,17.55875642613742,02,60,Yes,No,,,,,,,,No,,No,,No,,Strongly Agree,Agree,No Opinion,Disagree,No Opinion,No Opinion,Disagree,No Opinion,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Gasabo,31,Urban,2,Ordinary HH,46.45652,44.66587810822521,02,60,Yes,No,,,,,,,,No,,Yes,About half the time,No,,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,No,,,,,,,,,,,,Speed to cook,,,,,,,,,,,, 
Kigali City,Gasabo,31,Urban,3,Ordinary HH,15.96942875,17.55875642613742,01,60,No,No,,,,,,,,No,,No,,No,,Agree,No Opinion,No Opinion,No Opinion,No Opinion,Disagree,Disagree,Disagree,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Gasabo,31,Urban,4,Ordinary HH,15.96942875,17.55875642613742,01,120,Yes,No,,,,,,,,Yes,Never,Yes,About half the time,No,,No Opinion,Agree,No Opinion,Agree,Disagree,No Opinion,Disagree,No Opinion,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Gasabo,31,Urban,5,Ordinary HH,15.96942875,17.55875642613742,02,240,Yes,No,,,,,,,,No,,No,,No,,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Gasabo,31,Urban,6,Ordinary HH,15.96942875,17.55875642613742,02,45,Yes,No,3-Stones/Open fire stove,3-Stones/Open fire stove,3-Stones/Open fire stove,3-Stones/Open fire stove,3-Stones/Open fire stove,3-Stones/Open fire stove,Manufactured biomass stove,No,,No,,No,,Strongly Agree,Strongly Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Gasabo,31,Urban,7,Ordinary HH,15.96942875,17.55875642613742,02,120,Yes,No,3-Stones/Open fire stove,3-Stones/Open fire stove,3-Stones/Open fire stove,3-Stones/Open fire stove,3-Stones/Open fire stove,3-Stones/Open fire stove,Manufactured biomass stove,Yes,Never,No,,No,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Gasabo,31,Urban,8,Ordinary HH,15.96942875,17.55875642613742,01,90,No,No,,,,,,,,No,,No,,No,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Gasabo,31,Urban,9,Ordinary HH,46.45652,44.66587810822521,08,180,Yes,No,,,,,,,,No,,No,,No,,Agree,No Opinion,No Opinion,No Opinion,No Opinion,No Opinion,No Opinion,No Opinion,Yes,Yes,Roughly square,,2,,,,Flat,3,1,Yes,Fuel savings,,,,,,,,,,,, 
Kigali City,Gasabo,31,Urban,10,Ordinary HH,46.45652,44.66587810822521,02,60,Yes,Yes,LPG stove,Traditional/Locally built stove,Traditional/Locally built stove,LPG stove,Traditional/Locally built stove,Traditional/Locally built stove,LPG stove,No,,No,,Yes,Never,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,Roughly square,,2,,,,Flat,3,2,No,Speed to cook,,,,,,,,,,,, 
Kigali City,Gasabo,31,Urban,11,Ordinary HH,46.45652,44.66587810822521,02,120,Yes,Yes,LPG stove,LPG stove,Manufactured biomass stove,LPG stove,Manufactured biomass stove,LPG stove,LPG stove,Yes,Less than half the time,Yes,Less than half the time,No,,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Agree,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Gasabo,31,Urban,12,Ordinary HH,46.45652,44.66587810822521,02,240,Yes,No,,,,,,,,No,,Yes,Always,No,,Disagree,Agree,Strongly Agree,Agree,Disagree,No Opinion,Strongly Disagree,Strongly Agree,No,,,,,,,,,,,,Speed to cook,,,,,,,,,,,, 
Kigali City,Gasabo,31,Urban,13,Ordinary HH,46.45652,44.66587810822521,02,300,Yes,No,,,,,,,,No,,Yes,More than half the time,No,,Agree,Agree,No Opinion,Agree,Disagree,Disagree,Disagree,Strongly Agree,Yes,Yes,Roughly rectangular,,,5,2,,Flat,3,1,Yes,Fuel used,,,,,,,,,,,, 
Kigali City,Gasabo,31,Urban,14,Ordinary HH,46.45652,44.66587810822521,02,240,Yes,No,LPG stove,LPG stove,Manufactured biomass stove,LPG stove,Manufactured biomass stove,Manufactured biomass stove,LPG stove,No,,Yes,Never,No,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Yes,Yes,Roughly square,,3,,,,Flat,3,1,Yes,Price,,,,,,,,,,,, 
Kigali City,Gasabo,31,Urban,15,Ordinary HH,46.45652,44.66587810822521,01,150,Yes,No,,,,,,,,No,,No,,No,,Agree,Strongly Agree,Don't know,Strongly Agree,Strongly Agree,Don't know,Disagree,Don't know,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
Kigali City,Gasabo,31,Urban,16,Ordinary HH,46.45652,44.66587810822521,02,150,Yes,No,,,,,,,,No,,Yes,Always,No,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,Roughly rectangular,,,3,3,,Flat,3,1,Yes,Price,,,,,,,,,,,, 
Kigali City,Gasabo,31,Urban,17,Ordinary HH,46.45652,44.66587810822521,01,240,Yes,No,,,,,,,,No,,No,,No,,Strongly Agree,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,No Opinion,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
Kigali City,Gasabo,31,Urban,18,Ordinary HH,46.45652,44.66587810822521,03,120,Yes,No,,,,,,,,Yes,Less than half the time,Yes,Less than half the time,No,,No Opinion,Strongly Agree,No Opinion,Agree,Disagree,Disagree,Strongly Disagree,No Opinion,Yes,Yes,Roughly rectangular,,,2,2,,Flat,3,2,Yes,Fuel used,,,,,,,,,,,, 
Kigali City,Gasabo,32,Urban,1,Ordinary HH,48.65446,56.66435842477619,02,120,Yes,Yes,,,,,,,,No,,No,,No,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Yes,Roughly square,,2,,,,Flat,4,0,Yes,Price,,,,,,,,,,,, 
Kigali City,Gasabo,32,Urban,2,Ordinary HH,48.65446,56.66435842477619,01,180,Yes,No,,,,,,,,Yes,Never,Yes,About half the time,No,,Agree,Agree,Don't know,Agree,Agree,Agree,Agree,Agree,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
Kigali City,Gasabo,32,Urban,3,Ordinary HH,48.65446,56.66435842477619,01,40,Yes,No,,,,,,,,Yes,Less than half the time,Yes,Always,No,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
Kigali City,Gasabo,32,Urban,4,Ordinary HH,48.65446,56.66435842477619,02,60,No,No,,,,,,,,Yes,Never,Yes,Always,No,,Agree,Agree,Agree,Don't know,Agree,Strongly Agree,Disagree,Disagree,No,,,,,,,,,,,,Speed to cook,,,,,,,,,,,, 
Kigali City,Gasabo,32,Urban,5,Ordinary HH,48.65446,56.66435842477619,01,90,Yes,No,,,,,,,,Yes,Never,Yes,Always,No,,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Don't know,No,,,,,,,,,,,,Speed to cook,,,,,,,,,,,, 
Kigali City,Gasabo,32,Urban,6,Ordinary HH,48.65446,56.66435842477619,02,50,Yes,No,,,,,,,,Yes,Never,Yes,Always,No,,Don't know,Agree,Disagree,Don't know,Agree,Agree,Strongly Disagree,Don't know,No,,,,,,,,,,,,Speed to cook,,,,,,,,,,,, 
Kigali City,Gasabo,32,Urban,7,Ordinary HH,48.65446,56.66435842477619,01,30,Yes,No,,,,,,,,No,,Yes,Never,No,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
Kigali City,Gasabo,32,Urban,8,Ordinary HH,48.65446,56.66435842477619,02,120,Yes,No,,,,,,,,Yes,About half the time,Yes,More than half the time,Yes,Never,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
Kigali City,Gasabo,32,Urban,9,Ordinary HH,48.65446,56.66435842477619,02,120,Yes,No,,,,,,,,Yes,Less than half the time,Yes,Never,Yes,Less than half the time,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
Kigali City,Gasabo,32,Urban,10,Ordinary HH,48.65446,56.66435842477619,02,420,Yes,No,,,,,,,,Yes,Never,Yes,Never,No,,Strongly Agree,Strongly Agree,Don't know,Disagree,Strongly Agree,Don't know,Don't know,Don't know,No,,,,,,,,,,,,Safety,,,,,,,,,,,, 
Kigali City,Gasabo,32,Urban,11,Ordinary HH,48.65446,56.66435842477619,02,150,Yes,No,,,,,,,,Yes,Never,Yes,Always,No,,Don't know,Strongly Agree,Don't know,Disagree,Strongly Agree,Don't know,Strongly Disagree,Don't know,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Gasabo,32,Urban,12,Ordinary HH,48.65446,56.66435842477619,02,420,Yes,No,,,,,,,,Yes,Never,Yes,Always,No,,Don't know,Don't know,Don't know,Disagree,Strongly Agree,Don't know,Strongly Disagree,Don't know,Yes,Yes,Roughly rectangular,,,4,2,,Flat,6,2,No,Fuel used,,,,,,,,,,,, 
Kigali City,Gasabo,32,Urban,13,Ordinary HH,48.65446,56.66435842477619,02,120,Yes,No,,,,,,,,Yes,Never,Yes,Always,No,,Strongly Agree,Agree,Agree,Disagree,Agree,No Opinion,Strongly Disagree,Agree,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Gasabo,32,Urban,14,Ordinary HH,48.65446,56.66435842477619,01,180,Yes,No,,,,,,,,Yes,Never,Yes,Always,No,,Strongly Agree,Agree,No Opinion,Agree,Agree,Disagree,Strongly Disagree,Disagree,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
Kigali City,Gasabo,32,Urban,15,Ordinary HH,48.65446,56.66435842477619,02,180,Yes,No,,,,,,,,Yes,Never,Yes,Always,No,,Agree,Agree,No Opinion,Agree,Agree,No Opinion,Strongly Disagree,No Opinion,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Gasabo,32,Urban,16,Ordinary HH,48.65446,56.66435842477619,02,150,Yes,Yes,,,,,,,,Yes,Never,Yes,Always,Yes,Always,Agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Agree,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Gasabo,32,Urban,17,Ordinary HH,48.65446,56.66435842477619,02,160,Yes,No,Manufactured biomass stove,Manufactured biomass stove,Manufactured biomass stove,Manufactured biomass stove,Manufactured biomass stove,Manufactured biomass stove,Manufactured biomass stove,Yes,Always,No,,Yes,Always,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Yes,No,Roughly rectangular,,,2,2,,Flat,2,1,Yes,Price,,,,,,,,,,,, 
Kigali City,Gasabo,32,Urban,18,Ordinary HH,48.65446,56.66435842477619,02,120,Yes,No,,,,,,,,Yes,Always,Yes,Always,Yes,Always,No Opinion,Agree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Agree,No,,,,,,,,,,,,Fuel savings,,,,,,,,,,,, 
Kigali City,Gasabo,33,Urban,1,Ordinary HH,587.6543000000001,580.9370786661983,01,150,Yes,No,Manufactured biomass stove,Manufactured biomass stove,Manufactured biomass stove,Manufactured biomass stove,Manufactured biomass stove,Manufactured biomass stove,LPG stove,Yes,Never,Yes,More than half the time,No,,Agree,Agree,Don't know,Agree,Agree,Agree,Agree,Agree,Yes,Yes,Roughly square,,4,,,,Flat,6,2,Yes,Price,,,,,,,,,,,, 
Kigali City,Gasabo,33,Urban,2,Ordinary HH,587.6543000000001,580.9370786661983,01,45,Yes,Yes,,,,,,,,No,,No,,No,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,,,,,,,,,,,,Speed to cook,,,,,,,,,,,, 
Kigali City,Gasabo,33,Urban,3,Ordinary HH,587.6543000000001,580.9370786661983,02,120,Yes,Yes,,,,,,,,No,,Yes,More than half the time,No,,Agree,Agree,Don't know,Agree,Agree,Agree,Agree,Agree,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
