PROVINCE,DISTRICT,Cluster,HI04,HI05,TYPEHH,HH_WT,C_hhweight,G01,G02,G02A,G02B,G28,G29,G30,G31,G32,G33,G34,G35A,G35B,G36A,G36B,G37A,G37B,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G48_AREA_OTHER,G49_SQUARE,G49_L,G49_W,G49_CERCLE,G50,G51,G52,G53,G54,G54_OTHER,G55_1,G55_2,G55_3,G55_4,G55_5,G55_6,G55_7,G55_8,G55_9,G55_10,G55_OTHER
Kigali City,Nyarugenge,2,Rural,3,Ordinary HH,105.421975,107.1628146221072,02,240,No,,,,,,,,,Yes,Never,Yes,About half the time,No,,Don't know,Strongly Agree,Don't know,Strongly Disagree,Agree,Don't know,Strongly Disagree,Don't know,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,2,Rural,4,Ordinary HH,105.421975,107.1628146221072,01,120,No,,,,,,,,,No,,No,,No,,Strongly Agree,Strongly Disagree,No Opinion,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Yes,No,Roughly square,,2,,,,Flat,3,0,Yes,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,2,Rural,5,Ordinary HH,105.421975,107.1628146221072,03,90,No,,,,,,,,,No,,No,,No,,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Don't know,Don't know,No,,,,,,,,,,,,Speed to cook,,,,,,,,,,,, 
Kigali City,Nyarugenge,2,Rural,6,Ordinary HH,105.421975,107.1628146221072,02,150,Yes,,,,,,,,,No,,Yes,About half the time,No,,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,Don't know,Yes,Yes,Roughly square,,2,,,,Flat,3,1,No,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,2,Rural,7,Ordinary HH,105.421975,107.1628146221072,02,240,No,,,,,,,,,No,,Yes,Less than half the time,No,,No Opinion,Agree,No Opinion,Agree,Disagree,No Opinion,Agree,Disagree,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
Kigali City,Nyarugenge,2,Rural,8,Ordinary HH,221.941,224.2671993195952,01,180,No,,,,,,,,,No,,No,,No,,Agree,Agree,Agree,Agree,Disagree,No Opinion,Disagree,No Opinion,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
Kigali City,Nyarugenge,2,Rural,9,Ordinary HH,105.421975,107.1628146221072,02,60,Yes,,,,,,,,,Yes,About half the time,Yes,About half the time,No,,Disagree,No Opinion,No Opinion,No Opinion,No Opinion,No Opinion,Strongly Disagree,No Opinion,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
Kigali City,Nyarugenge,2,Rural,10,Ordinary HH,221.941,224.2671993195952,02,120,No,,,,,,,,,No,,Yes,Always,No,,Disagree,Agree,No Opinion,No Opinion,Agree,Don't know,Disagree,No Opinion,No,,,,,,,,,,,,Other,Financial capacity,,,,,,,,,,, 
Kigali City,Nyarugenge,2,Rural,11,Ordinary HH,221.941,224.2671993195952,02,250,Yes,,,,,,,,,No,,No,,No,,Agree,Agree,No Opinion,No Opinion,Disagree,No Opinion,Disagree,No Opinion,Yes,No,Roughly square,,3,,,,Flat,3,1,Yes,Price,,,,,,,,,,,, 
Kigali City,Nyarugenge,2,Rural,12,Ordinary HH,221.941,224.2671993195952,01,120,Yes,,,,,,,,,No,,No,,No,,Don't know,Strongly Agree,Don't know,Agree,Agree,Don't know,Agree,Disagree,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
