Cluster,HI05,HH_WT,C_hhweight,PROVINCE,DISTRICT,HI04,TYPEHH,C128,C135_6,C135_Other,C144,C144_OTHER,C149A,C149B,C149_OTHER,C129,C130,C131,C132,C133,C134,C135_1,C135_2,C135_3,C135_4,C135_5,C136,C137_1,C137_2,C137_3,C137_4,C137_5,C137_6,C138,C139,C140,C141,C142,C143,C145,C146,C147,C148,C150,C151
97,15,66.53045999999999,70.454409897475,Southern Province,Nyamagabe,Rural,HH Surrounding Camp,First,,,,,Cannot power large appliances,No other problem,,Solar lighting system,Yes,International brands,Yes,5,Yes,Yes,,,,,Have appliances,,,,,,,Solar Home System,100,No,6,01,Paid,728000,Yes,Yes,12,,Reseller
97,16,66.53045999999999,70.454409897475,Southern Province,Nyamagabe,Rural,HH Surrounding Camp,First,Yes,Telephone,,,Cannot power large appliances,Quality of light,,Solar lighting system,Yes,International brands,Yes,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,10,No,2,0102,Paid,85000,Yes,Yes,4,,Owner
97,18,66.53045999999999,70.454409897475,Southern Province,Nyamagabe,Rural,HH Surrounding Camp,First,,,,,Cannot power large appliances,Duration of service too short,,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,120,No,4,0102,Paid,141000,Yes,Yes,5,,Reseller
99,11,950.1539000000001,1022.716662456142,Southern Province,Nyamagabe,Rural,Ordinary HH,First,,,Humanitarian agencies,,No problems,No other problem,,Solar home system,Yes,International brands,No,2,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Home System,888,Yes,1,01,For free,,,Yes,3,,Other technician
99,12,950.1539000000001,1022.716662456142,Southern Province,Nyamagabe,Rural,Ordinary HH,First,,,Local private organizations (NGO),,No problems,No other problem,,Solar lighting system,Yes,International brands,Yes,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,888,No,1,01,For free,,,Yes,24,,Other technician
99,13,950.1539000000001,1022.716662456142,Southern Province,Nyamagabe,Rural,Ordinary HH,second,,,Local private organizations (NGO),,Duration of service too short,Quality of light,,Solar lighting system,No,International brands,No,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,9,No,6,02,For free,,,No,3,,Other technician
99,13,950.1539000000001,1022.716662456142,Southern Province,Nyamagabe,Rural,Ordinary HH,First,,,,,Duration of service too short,Quality of light,,Solar lantern,Yes,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,0102,Paid,20000,No,Yes,12,,Owner
99,16,950.1539000000001,1022.716662456142,Southern Province,Nyamagabe,Rural,Ordinary HH,First,,,Local government,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,12,No,1,01,For free,,,Yes,4,,"Other, specify"
99,17,950.1539000000001,1022.716662456142,Southern Province,Nyamagabe,Rural,Ordinary HH,First,,,Local private organizations (NGO),,No problems,No other problem,,Solar lighting system,Yes,International brands,No,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,888,No,1,0102,For free,,,Yes,12,,Owner
99,18,950.1539000000001,1022.716662456142,Southern Province,Nyamagabe,Rural,Ordinary HH,First,,,Local private organizations (NGO),,No problems,No other problem,,Solar lantern,Yes,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,2,01,For free,,,No,5,,Reseller
100,1,1790.819289473684,1914.525045674502,Southern Province,Nyamagabe,Rural,Ordinary HH,First,Yes,RADIO,,,"Other, specify",Quality of light,Bad for eyes,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,20,No,3,01,Paid,95000,Yes,Yes,3,,Reseller
100,7,1790.819289473684,1914.525045674502,Southern Province,Nyamagabe,Rural,Ordinary HH,First,,,Relative/Friend,,Duration of service too short,Cannot power large appliances,,Solar lantern,Yes,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,01,For free,,,No,2,,Other technician
100,9,1790.819289473684,1914.525045674502,Southern Province,Nyamagabe,Rural,Ordinary HH,First,,,,,No problems,No other problem,,Solar lantern,Yes,International brands,Yes,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,20,No,1,01,Paid,70000,Yes,No,3,,Owner
100,14,756.1237,747.7657902733737,Southern Province,Nyamagabe,Rural,Ordinary HH,First,,,,,No problems,No other problem,,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,12,No,4,0102,Paid,172000,Yes,Yes,4,,Reseller
100,22,1790.819289473684,1914.525045674502,Southern Province,Nyamagabe,Rural,Ordinary HH,First,,,,,No problems,No other problem,,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,888,No,1,0102,Paid,95000,Yes,Yes,24,,Reseller
101,1,75.79503999999999,71.66827980172273,Southern Province,Nyamagabe,Rural,HH Surrounding Camp,First,Yes,No one,,,Duration of service too short,No other problem,,Solar lighting system,Yes,International brands,Yes,2,No,,,,,,Have appliances,,,,,,,Solar Lighting product,20,No,2,01,Paid,120000,Yes,No,2,,Reseller
101,6,75.79503999999999,71.66827980172273,Southern Province,Nyamagabe,Rural,HH Surrounding Camp,First,,,,,Cannot power large appliances,Recurrent cost related to solar device is too expensive,,Solar lighting system,Yes,International brands,Yes,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,20,No,3,01,Paid,178770,Yes,Yes,10,,Reseller
101,8,75.79503999999999,71.66827980172273,Southern Province,Nyamagabe,Rural,HH Surrounding Camp,First,Yes,Telephone,"Other, specify",His/her child,Cannot power large appliances,Quality of light,,Solar lighting system,Yes,International brands,Yes,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,10,No,2,0102,For free,,,Yes,2,,Owner
102,9,58.11957448630137,64.40372729505464,Southern Province,Nyamagabe,Urban,HH Surrounding Camp,second,Yes,Electric lamp,,,No problems,No other problem,,Solar lighting system,No,International brands,No,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,20,No,2,01,Paid,70000,Yes,Yes,1,,Reseller
102,9,58.11957448630137,64.40372729505464,Southern Province,Nyamagabe,Urban,HH Surrounding Camp,First,Yes,Electric lamp,,,No problems,No other problem,,Solar lighting system,No,International brands,No,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,20,No,2,01,Paid,70000,Yes,Yes,1,,Reseller
102,9,58.11957448630137,64.40372729505464,Southern Province,Nyamagabe,Urban,HH Surrounding Camp,third,Yes,Electric lamp,,,No problems,No other problem,,Solar lighting system,Yes,International brands,No,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,20,No,2,01,Paid,70000,Yes,Yes,1,,Reseller
105,15,68.69241,63.32445256830472,Southern Province,Nyamagabe,Rural,HH Surrounding Camp,First,Yes,Telephone,,,Breaks down too often,Cannot power large appliances,,Solar lighting system,Yes,International brands,Yes,5,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,12,No,2,01,Paid,270000,Yes,Yes,10,No,Reseller
105,16,68.69241,63.32445256830472,Southern Province,Nyamagabe,Rural,HH Surrounding Camp,First,,,,,Duration of service too short,Cannot power large appliances,,Solar lighting system,Yes,International brands,Yes,5,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,50,No,4,01,Paid,400000,Yes,Yes,2,,Reseller
105,18,68.69241,63.32445256830472,Southern Province,Nyamagabe,Rural,HH Surrounding Camp,First,Yes,Telephone,,,Breaks down too often,Cannot power large appliances,,Solar lighting system,Yes,International brands,Yes,4,No,,,,,,Have appliances,,,,,,,Solar Lighting product,10,No,2,0102,Paid,350000,Yes,Yes,24,Yes,Reseller
106,1,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,Yes,No one,Local private organizations (NGO),,Battery problems,Maintenance and availability of spare parts,,Solar home system,Yes,International brands,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,60,Yes,1,01,For free,,,Yes,6,Yes,Reseller
107,3,,,Southern Province,Nyamagabe,Rural,Refugee HH,second,,,Local private organizations (NGO),,No problems,No other problem,,Solar lighting system,No,International brands,Yes,2,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,888,No,1,01,For free,,,No,3,,Reseller
107,3,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,,,,,Battery problems,Duration of service too short,,Solar lighting system,Yes,International brands,Yes,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,6,No,1,02,Paid,2600,Yes,No,5,Yes,Reseller
107,4,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,,,Local private organizations (NGO),,No problems,No other problem,,Solar lighting system,Yes,International brands,No,1,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,01,For free,,,No,3,,Reseller
108,11,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,Yes,No one,,,Breaks down too often,No other problem,,Solar home system,Yes,International brands,No,3,No,,,,,,Have appliances,,,,,,,Solar Home System,60,Yes,2,02,Paid,93600,Yes,No,4,Yes,Reseller
108,15,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,Yes,No one,,,Breaks down too often,No other problem,,Solar home system,Yes,International brands,No,1,No,,,,,,Have appliances,,,,,,,Solar Home System,60,Yes,3,02,Paid,75000,Yes,Yes,5,Yes,Reseller
108,16,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,Yes,No one,Local private organizations (NGO),,No problems,No other problem,,Solar home system,Yes,International brands,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,60,No,1,01,For free,,,No,Don't know,,"Other, specify"
108,18,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,Yes,No one,,,No problems,No other problem,,Solar home system,Yes,Component-based/Local,Yes,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,60,Yes,1,01,Paid,30000,Yes,Yes,6,,Reseller
109,11,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,,,,,Quality of light,Cannot power large appliances,,Solar lighting system,Yes,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,2,01,Paid,1500,No,Yes,2,,Owner
109,12,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,,,,,No problems,No other problem,,Solar home system,Yes,International brands,No,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,888,No,5,02,Paid,40000,Yes,Yes,3,,Reseller
109,13,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,,,Local private organizations (NGO),,Quality of light,Battery problems,,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,60,No,1,01,For free,,,Yes,1,No,Reseller
109,13,,,Southern Province,Nyamagabe,Rural,Refugee HH,second,,,Local private organizations (NGO),,Quality of light,No other problem,,Solar lighting system,No,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,888,No,1,01,For free,,,Yes,1,,Reseller
109,14,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,,,Local private organizations (NGO),,Quality of light,Battery problems,,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,Yes,,Have appliances,,,,,,,Solar Home System,888,No,1,01,For free,,,Yes,2,No,Relative/friend
109,15,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,,,,,Battery problems,No other problem,,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,100,No,2,01,Paid,250000,Yes,Yes,3,No,Reseller
109,17,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,Yes,RADIO,,,Recurrent cost related to solar device is too expensive,No other problem,,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,888,No,1,0102,Paid,260000,Yes,Yes,2,,Reseller
109,18,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,,,,,Battery problems,Breaks down too often,,Solar lighting system,Yes,International brands,Yes,3,Yes,Yes,,,,,Have appliances,,,,,,,Solar Home System,100,No,2,01,Paid,500000,No,Yes,4,No,Owner
110,3,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,Yes,No one,,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,60,Yes,3,02,Paid,30000,Yes,No,Don't know,,Reseller
111,11,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,,,,,Recurrent cost related to solar device is too expensive,No other problem,,Solar home system,Yes,International brands,Yes,3,No,,,,Yes,,Have appliances,,,,,,,Solar Home System,888,No,2,01,Paid,248400,Yes,Yes,4,,Reseller
111,12,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,,,Local government,,Quality of light,No other problem,,Solar lighting system,Yes,International brands,Yes,3,No,,,,Yes,,Have appliances,,,,,,,Solar Home System,888,No,1,01,For free,,,No,2,,Relative/friend
111,13,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,,,Local government,,Quality of light,No other problem,,Solar lighting system,Yes,International brands,Yes,3,No,,,,Yes,,Have appliances,,,,,,,Solar Home System,888,No,1,0102,For free,,,Yes,3,,Relative/friend
111,14,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,,,,,Battery problems,Quality of light,,Solar home system,Yes,International brands,Yes,3,No,,,,Yes,,Have appliances,,,,,,,Solar Home System,888,No,2,02,Paid,93600,Yes,Yes,3,No,Reseller
111,15,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,,,,,Battery problems,Quality of light,,Solar home system,Yes,International brands,Yes,3,Yes,,,,Yes,,Have appliances,,,,,,,Solar Home System,888,No,1,0102,Paid,93600,Yes,Yes,3,Yes,Reseller
111,16,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,,,,,Quality of light,Battery problems,,Solar lighting system,Yes,International brands,Yes,3,No,,,,Yes,,Have appliances,,,,,,,Solar Home System,888,No,1,01,Paid,93600,Yes,Yes,3,Yes,Reseller
111,17,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,,,,,Recurrent cost related to solar device is too expensive,Battery problems,,Solar home system,Yes,International brands,Yes,4,No,,,,Yes,,Have appliances,,,,,,,Solar Home System,888,Yes,2,01,Paid,248300,Yes,Yes,3,Yes,Reseller
112,12,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,Yes,Electric lamp,,,"Other, specify",Cannot power large appliances,Can't charge anything on it,Solar home system,Yes,International brands,Yes,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,60,Yes,1,01,Paid,30000,Yes,Yes,Don't know,,Reseller
112,14,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,Yes,Electric lamp,,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,60,No,2,02,Paid,30000,Yes,Yes,4,,Reseller
112,16,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,Yes,Electric lamp,,,No problems,No other problem,,Solar home system,Yes,International brands,No,3,No,,,,,,Have appliances,,,,,,,Solar Home System,60,Yes,3,01,Paid,91000,Yes,Yes,Don't know,,Reseller
112,18,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,Yes,No one,Local private organizations (NGO),,No problems,No other problem,,Solar home system,Yes,International brands,No,3,No,,,,,,Have appliances,,,,,,,Solar Home System,60,No,1,01,For free,,,Yes,Don't know,,"Other, specify"
113,6,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,,,,,Breaks down too often,Quality of light,,Solar lighting system,Yes,International brands,Yes,2,No,,,,Yes,,Have appliances,,,,,,,Solar Home System,888,No,4,04,Paid,30000,No,Yes,12,No,Reseller
113,8,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,,,,,Quality of light,No other problem,,Solar home system,Yes,International brands,Yes,3,Yes,,,,Yes,,Have appliances,,,,,,,Solar Home System,888,Yes,2,01,Paid,93600,Yes,Yes,3,,Reseller
113,9,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,Yes,Electric lamp,,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,60,Yes,2,01,Paid,2600,Yes,Yes,4,,Reseller
113,10,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,Yes,Electric lamp,,,Recurrent cost related to solar device is too expensive,Duration of service too short,,Solar home system,Yes,International brands,No,3,No,,,,,,Have appliances,,,,,,,Solar Home System,60,Yes,2,0102,Paid,2900,Yes,Yes,4,,Reseller
113,11,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,Yes,Electric lamp,,,Recurrent cost related to solar device is too expensive,No other problem,,Solar home system,Yes,International brands,Yes,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,60,Yes,2,01,Paid,2900,Yes,Yes,Don't know,,Reseller
113,12,,,Southern Province,Nyamagabe,Rural,Refugee HH,First,Yes,Electric lamp,Local private organizations (NGO),,No problems,No other problem,,Solar home system,Yes,International brands,Yes,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,60,Yes,1,01,For free,,,No,Don't know,,"Other, specify"
114,5,277.370968,262.3242607297785,Southern Province,Ruhango,Rural,Ordinary HH,First,,,,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,12,Yes,3,01,Paid,90000,No,No,3,,"Other, specify"
115,7,47.34945459649123,45.65776736240277,Southern Province,Ruhango,Urban,Ordinary HH,First,Yes,Electric lamp,,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,4,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,120,Yes,5,01,Paid,140000,Yes,Yes,12,,Reseller
118,12,1072.903900452489,976.8136475581209,Southern Province,Ruhango,Rural,Ordinary HH,First,Yes,Electric lamp,,,Duration of service too short,Breaks down too often,,Solar home system,Yes,Component-based/Local,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,12,Yes,1,01,Paid,30000,No,No,Don't know,No,Reseller
120,7,466.49658,481.9913296559732,Southern Province,Muhanga,Urban,Ordinary HH,First,,,,,No problems,No other problem,,Solar lantern,Yes,Component-based/Local,Yes,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,02,Paid,25000,Yes,No,3,,Relative/friend
120,15,466.49658,481.9913296559732,Southern Province,Muhanga,Urban,Ordinary HH,First,,,Relative/Friend,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,9,No,Yes,,,,,Have appliances,,,,,,,Solar Home System,888,Yes,1,01,For free,,,No,12,,Owner
121,9,1083.059,1087.677652935274,Southern Province,Muhanga,Rural,Ordinary HH,First,,,,,Cannot power large appliances,No other problem,,Solar home system,Yes,International brands,Yes,5,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,888,Yes,2,01,Paid,35000,Yes,No,4,,Relative/friend
121,11,1083.059,1087.677652935274,Southern Province,Muhanga,Rural,Ordinary HH,First,,,,,No problems,No other problem,,Solar lantern,Yes,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,2,02,Paid,25000,Yes,Yes,3,,"Other, specify"
121,12,1083.059,1087.677652935274,Southern Province,Muhanga,Rural,Ordinary HH,First,,,,,No problems,No other problem,,Solar lighting system,Yes,International brands,Yes,4,Yes,Yes,,,,,Have appliances,,,,,,,Solar Home System,100,Yes,8,01,Paid,466800,Yes,Yes,12,,Reseller
122,3,1119.499428571429,1160.554317691875,Southern Province,Muhanga,Rural,Ordinary HH,First,Yes,Electric lamp,,,Breaks down too often,Cannot power large appliances,,Solar home system,Yes,International brands,Yes,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,25,Yes,2,01,Paid,30000,Yes,Yes,5,Yes,Reseller
122,18,1119.499428571429,1160.554317691875,Southern Province,Muhanga,Rural,Ordinary HH,First,,,,,No problems,No other problem,,Solar lantern,Yes,International brands,Yes,1,Yes,Yes,,,,,Have appliances,,,,,,,Solar Home System,888,Yes,3,01,Paid,2750,Yes,Yes,4,,"Other, specify"
124,5,52.30157100000001,48.99721415722087,Southern Province,Muhanga,Urban,Ordinary HH,First,,,Relative/Friend,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,2,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,12,Yes,1,0102,For free,,,No,12,,Relative/friend
124,12,249.0551,265.9945191391914,Southern Province,Muhanga,Urban,Ordinary HH,First,,,,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,4,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,12,Yes,4,02,Paid,5000,Yes,Yes,2,,Reseller
125,10,1360.235110771581,1305.530304649032,Southern Province,Muhanga,Rural,Ordinary HH,First,Yes,Electric lamp,Local private organizations (NGO),,No problems,No other problem,,Solar home system,Yes,International brands,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,50,Yes,1,01,For free,,,Yes,5,,Owner
125,12,1360.235110771581,1305.530304649032,Southern Province,Muhanga,Rural,Ordinary HH,First,Yes,Electric lamp,Local private organizations (NGO),,No problems,No other problem,,Solar home system,Yes,International brands,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,50,Yes,1,01,For free,,,Yes,4,,Owner
125,13,1360.235110771581,1305.530304649032,Southern Province,Muhanga,Rural,Ordinary HH,First,Yes,Telephone,,,Breaks down too often,Duration of service too short,,Solar home system,Yes,International brands,Yes,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,50,Yes,5,0102,Paid,145000,Yes,Yes,5,No,Reseller
125,15,1360.235110771581,1305.530304649032,Southern Province,Muhanga,Rural,Ordinary HH,First,,,,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,6,Yes,Yes,,,,,Have appliances,,,,,,,Solar Home System,100,Yes,1,01,Paid,580000,No,No,12,,Other technician
125,16,1360.235110771581,1305.530304649032,Southern Province,Muhanga,Rural,Ordinary HH,second,,,Relative/Friend,,No problems,No other problem,,Solar lantern,No,International brands,No,2,Yes,Yes,,,,,Have appliances,,,,,,,Solar Home System,100,Yes,2,0102,For free,,,No,Don't know,,Owner
125,16,1360.235110771581,1305.530304649032,Southern Province,Muhanga,Rural,Ordinary HH,First,,,,,Recurrent cost related to solar device is too expensive,Breaks down too often,,Solar home system,Yes,International brands,Yes,2,Yes,Yes,,,,,Have appliances,,,,,,,Solar Home System,100,Yes,6,0102,Paid,250000,Yes,No,10,No,Reseller
127,4,1240.291813333334,1187.575446828638,Southern Province,Kamonyi,Rural,Ordinary HH,First,Yes,RADIO,Local government,,Quality of light,Maintenance and availability of spare parts,,Solar lighting system,Yes,International brands,Yes,2,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,888,No,2,01,For free,,,No,6,Yes,Owner
127,4,1240.291813333334,1187.575446828638,Southern Province,Kamonyi,Rural,Ordinary HH,second,,,,,No problems,No other problem,,Solar lantern,No,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,2,01,Paid,15000,Yes,No,2,,Reseller
127,13,1500.353,1619.595420348217,Southern Province,Kamonyi,Rural,Ordinary HH,First,Yes,RADIO and telePhone,,,Breaks down too often,Quality of light,,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,12,No,2,0102,Paid,2500,No,No,1,Yes,Owner
127,13,1500.353,1619.595420348217,Southern Province,Kamonyi,Rural,Ordinary HH,second,,,Relative/Friend,,No problems,No other problem,,Solar lighting system,No,International brands,Yes,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,2,01,For free,,,No,3,,Relative/friend
127,15,1240.291813333334,1187.575446828638,Southern Province,Kamonyi,Rural,Ordinary HH,First,,,Local government,,Cannot power large appliances,Breaks down too often,,Solar lighting system,Yes,International brands,No,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,10,No,5,0102,For free,,,Yes,5,No,Other technician
127,18,1240.291813333334,1187.575446828638,Southern Province,Kamonyi,Rural,Ordinary HH,First,,,,,Battery problems,Duration of service too short,,Solar home system,Yes,International brands,No,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Home System,888,Yes,4,01,Paid,30000,Yes,No,4,No,Reseller
128,5,343.7113792145802,346.6308792770852,Southern Province,Kamonyi,Urban,Ordinary HH,First,,,,,Cannot power large appliances,Quality of light,,Solar lantern,Yes,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,02,Paid,5000,No,No,3,,"Other, specify"
128,11,343.7113792145802,346.6308792770852,Southern Province,Kamonyi,Urban,Ordinary HH,First,,,,,Duration of service too short,Quality of light,,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,70,No,3,01,Paid,90000,Yes,Yes,4,,Other technician
128,13,343.7113792145802,346.6308792770852,Southern Province,Kamonyi,Urban,Ordinary HH,First,,,Local private organizations (NGO),,"Other, specify",No other problem,Doesn't work well in rainy season,Solar lantern,No,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,2,02,For free,,,No,7,,"Other, specify"
128,13,343.7113792145802,346.6308792770852,Southern Province,Kamonyi,Urban,Ordinary HH,second,,,Local private organizations (NGO),,Cannot power large appliances,No other problem,,Solar lantern,Yes,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,5,0304,For free,,,No,7,,"Other, specify"
129,3,892.101,732.2995303766854,Southern Province,Kamonyi,Rural,Ordinary HH,First,Yes,Telephone,,,Breaks down too often,Duration of service too short,,Solar lantern,Yes,International brands,Yes,1,No,,,,,,Have appliances,,,,,,,Solar Lantern,,,1,01,Paid,5000,Yes,No,3,No,Reseller
129,3,892.101,732.2995303766854,Southern Province,Kamonyi,Rural,Ordinary HH,second,,,Local private organizations (NGO),,Duration of service too short,Cannot power large appliances,,Solar home system,No,International brands,Yes,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,01,For free,,,No,2,,Other technician
129,4,892.101,732.2995303766854,Southern Province,Kamonyi,Rural,Ordinary HH,First,,,,,Duration of service too short,Cannot power large appliances,,Solar lantern,Yes,Component-based/Local,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,01,Paid,2000,No,No,3,,Owner
129,9,892.101,732.2995303766854,Southern Province,Kamonyi,Rural,Ordinary HH,First,Yes,Not possible to connect on it,Local private organizations (NGO),,Duration of service too short,Cannot power large appliances,,Solar lantern,Yes,Component-based/Local,No,1,No,,,,,,Have appliances,,,,,,,Solar Lantern,,,2,01,For free,,,No,1,,Other technician
129,10,892.101,732.2995303766854,Southern Province,Kamonyi,Rural,Ordinary HH,First,Yes,Telephone,,,Battery problems,No other problem,,Solar home system,Yes,International brands,Yes,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,50,No,2,01,Paid,30000,Yes,Yes,3,No,Reseller
129,10,892.101,732.2995303766854,Southern Province,Kamonyi,Rural,Ordinary HH,second,,,Local private organizations (NGO),,No problems,No other problem,,Solar lantern,No,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,04,For free,,,No,1,,Relative/friend
129,10,892.101,732.2995303766854,Southern Province,Kamonyi,Rural,Ordinary HH,third,,,,,Battery problems,No other problem,,Solar home system,No,International brands,Yes,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,50,No,2,01,Paid,243600,Yes,No,3,No,Reseller
