PROVINCE,DISTRICT,Cluster,HI04,HI05,TYPEHH,HH_WT,C_hhweight,K1A,K1B,K1C,K1D,K2A,K2B,K2C,K2D,K3A,K3B,K3C,K3D,K4A,K4B,K4C,K4D,K5A,K5B,K5C,K5D,K6A,K6B,K6C,K6D,K7A,K7B,K7C,K7D,K8A,K8B,K8C,K8D,K9A,K9B,K9C,K9D,L1A,L2A,L3A,L4A_1,L4A_2,L4A_3,L4A_4,L4A_5,L5A,L6A,L7A,L8A,L9A,L1B,L2B,L3B,L4B_1,L4B_2,L4B_3,L4B_4,L4B_5,L5B,L6B,L7B,L8B,L9B,L1C,L2C,L3C,L4C_1,L4C_2,L4C_3,L4C_4,L4C_5,L5C,L6C,L7C,L8C,L9C,L1D,L2D,L3D,L4D_1,L4D_2,L4D_3,L4D_4,L4D_5,L5D,L6D,L7D,L8D,L9D,L1E,L2E,L3E,L4E_1,L4E_2,L4E_3,L4E_4,L4E_5,L5E,L6E,L7E,L8E,L9E
Kigali City,Nyarugenge,2,Rural,18,Ordinary HH,221.941,224.2671993195952,,,,,150,0,0,0,30,0,30,30,60,0,0,30,0,0,0,0,60,30,60,60,0,120,0,120,120,0,120,0,0,0,0,30,1,1,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,
Kigali City,Nyarugenge,2,Rural,22,Ordinary HH,221.941,224.2671993195952,,,,,60,,0,,0,,0,,0,,0,,720,,0,,0,,30,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigali City,Nyarugenge,3,Rural,1,Ordinary HH,179.50659375,170.7883849440346,,,,,120,0,,0,60,30,,30,0,0,,120,0,0,,0,60,60,,60,0,120,,60,0,0,,0,0,0,,0,0,,0,,,,,,1,0,0,,1,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0
Kigali City,Nyarugenge,3,Rural,2,Ordinary HH,179.50659375,170.7883849440346,,,,,40,0,,0,30,0,,0,0,0,,0,300,0,,0,30,60,,30,0,30,,300,0,0,,0,0,0,,0,1,0,0,,,,,,1,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,
Kigali City,Nyarugenge,3,Rural,3,Ordinary HH,1566.603,1370.326394831265,,,,,120,,,,0,,,,0,,,,0,,,,30,,,,0,,,,0,,,,0,,,,1,0,1,0,0,0,0,1,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigali City,Nyarugenge,3,Rural,4,Ordinary HH,179.50659375,170.7883849440346,,,,,60,0,0,,30,30,30,,50,0,0,,0,0,540,,60,120,60,,0,120,120,,0,0,0,,0,0,0,,0,,0,,,,,,0,0,0,,0,2,0,2,0,2,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,,0
Kigali City,Nyarugenge,3,Rural,5,Ordinary HH,1566.603,1370.326394831265,,,,,120,0,0,,30,30,30,,30,30,30,,0,0,0,,0,0,0,,0,0,0,,30,30,30,,30,30,30,,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0
Kigali City,Nyarugenge,3,Rural,6,Ordinary HH,179.50659375,170.7883849440346,,,,,,,32,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigali City,Nyarugenge,3,Rural,7,Ordinary HH,179.50659375,170.7883849440346,,,,,60,90,60,0,360,0,60,0,60,30,0,0,420,0,720,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0
Kigali City,Nyarugenge,3,Rural,8,Ordinary HH,179.50659375,170.7883849440346,,,,,0,,20,0,0,,15,0,0,,0,0,0,,660,0,0,,0,0,0,,0,300,0,,30,0,0,,30,120,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,
Kigali City,Nyarugenge,3,Rural,9,Ordinary HH,1566.603,1370.326394831265,,,,,60,,,0,20,,,0,0,,,0,240,,,0,60,,,30,0,,,0,0,,,0,0,,,0,1,0,0,,,,,,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,
Kigali City,Nyarugenge,3,Rural,10,Ordinary HH,1566.603,1370.326394831265,,,,,120,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,60,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,1,1,0,,,,,,0,0,0,,0,,,,,,,,,,,,,
Kigali City,Nyarugenge,3,Rural,11,Ordinary HH,1566.603,1370.326394831265,,,,,180,45,0,0,0,30,0,0,60,0,0,0,380,0,520,0,0,0,50,0,0,120,0,30,60,120,30,40,45,80,40,0,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,
Kigali City,Nyarugenge,3,Rural,12,Ordinary HH,1566.603,1370.326394831265,,,,,140,30,0,,0,0,0,,0,0,0,,200,0,450,,0,0,40,,0,50,0,,60,60,0,,0,30,0,,1,0,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigali City,Nyarugenge,3,Rural,13,Ordinary HH,1566.603,1370.326394831265,,,,,60,0,0,0,0,30,0,0,0,40,0,0,60,0,420,0,0,35,0,0,0,60,0,30,0,30,0,40,0,45,0,40,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0
Kigali City,Nyarugenge,3,Rural,14,Ordinary HH,179.50659375,170.7883849440346,,,,,60,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,50,60,0,,0,0,0,,0,0,0,,0,0,1,0,0,,,,,,0,0,0,,1,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,
Kigali City,Nyarugenge,3,Rural,15,Ordinary HH,179.50659375,170.7883849440346,,,,,30,,65,,480,,0,,0,,0,,0,,480,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0
Kigali City,Nyarugenge,3,Rural,16,Ordinary HH,1566.603,1370.326394831265,,,,,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,0,0,0,,0,2,2,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,
Kigali City,Nyarugenge,3,Rural,17,Ordinary HH,1566.603,1370.326394831265,,,,,120,0,0,,120,0,60,,0,0,0,,0,0,0,,0,0,240,,0,0,0,,0,0,0,,0,0,0,,0,,0,,,,,,0,0,0,,0,1,0,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0
Kigali City,Nyarugenge,3,Rural,18,Ordinary HH,1566.603,1370.326394831265,,,,,30,82,0,0,30,0,0,0,0,0,0,0,480,0,480,0,0,30,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0
Kigali City,Nyarugenge,4,Urban,1,Ordinary HH,262.5804,252.1639912786828,,,,,10,0,,,30,0,,,120,0,,,0,0,,,30,0,,,0,0,,,0,0,,,0,0,,,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigali City,Nyarugenge,4,Urban,2,Ordinary HH,262.5804,252.1639912786828,,,,,60,,0,,120,,60,,0,,0,,600,,700,,60,,120,,0,,0,,120,,120,,60,,120,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigali City,Nyarugenge,4,Urban,3,Ordinary HH,262.5804,252.1639912786828,,,,,120,,0,0,30,,30,0,0,,30,0,300,,600,0,60,,60,60,0,,0,30,45,,60,90,30,,60,90,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0
Kigali City,Nyarugenge,4,Urban,4,Ordinary HH,262.5804,252.1639912786828,,,,,90,90,0,,40,0,20,,60,0,0,,60,0,420,,0,30,90,,0,30,0,,0,0,30,,0,0,0,,2,0,0,,,,,,0,0,0,,0,2,0,0,,,,,,0,0,0,,0,1,0,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,1,0,0,,,,,,0,0,0,,0
Kigali City,Nyarugenge,4,Urban,5,Ordinary HH,262.5804,252.1639912786828,,,,,20,0,0,,60,120,30,,30,0,0,,600,0,660,,30,0,60,,0,0,30,,60,120,60,,30,60,60,,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigali City,Nyarugenge,4,Urban,6,Ordinary HH,262.5804,252.1639912786828,,,,,90,,100,,20,,20,,0,,40,,0,,360,,0,,60,,0,,0,,60,,60,,240,,60,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,1,0,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,2,2,1,0,0,0,0,0,0,0,0,,0
Kigali City,Nyarugenge,4,Urban,7,Ordinary HH,262.5804,252.1639912786828,,,,,120,,0,,60,,30,,0,,0,,0,,360,,30,,30,,0,,0,,120,,30,,120,,30,,1,1,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,2,2,0,,,,,,0,0,0,,0
Kigali City,Nyarugenge,4,Urban,8,Ordinary HH,262.5804,252.1639912786828,,,,,60,,,,0,,,,30,,,,120,,,,120,,,,0,,,,0,,,,0,,,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigali City,Nyarugenge,4,Urban,9,Ordinary HH,262.5804,252.1639912786828,,,,,10,10,0,,20,45,30,,60,0,20,,0,0,450,,45,45,60,,0,60,0,,120,120,220,,250,140,140,,1,1,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,1,1,0,,,,,,0,0,0,,0
Kigali City,Nyarugenge,4,Urban,10,Ordinary HH,262.5804,252.1639912786828,,,,,120,,0,0,30,,15,0,30,,10,0,0,,60,0,30,,60,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0
Kigali City,Nyarugenge,4,Urban,11,Ordinary HH,262.5804,252.1639912786828,,,,,15,0,0,0,120,0,540,180,120,120,60,120,600,0,660,0,300,120,120,300,120,600,300,600,120,120,180,120,120,120,180,120,0,,0,,,,,,0,0,0,,0,1,1,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0
Kigali City,Nyarugenge,4,Urban,12,Ordinary HH,262.5804,252.1639912786828,,,,,15,,0,,25,,35,,60,,30,,420,,420,,45,,0,,0,,0,,60,,60,,60,,120,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,1,1,0,,,,,,0,0,0,,0
Kigali City,Nyarugenge,4,Urban,13,Ordinary HH,262.5804,252.1639912786828,,,,,90,,,,0,,,,0,,,,0,,,,0,,,,0,,,,30,,,,30,,,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0
Kigali City,Nyarugenge,4,Urban,15,Ordinary HH,262.5804,252.1639912786828,,,,,15,,0,0,20,,25,35,35,,45,0,0,,420,0,45,,45,40,0,,0,45,40,,120,60,180,,180,120,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,
Kigali City,Nyarugenge,4,Urban,17,Ordinary HH,262.5804,252.1639912786828,,,,,30,,0,0,30,,0,0,60,,0,0,0,,0,0,30,,0,45,45,,0,45,45,,0,160,120,,0,120,1,1,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,
Kigali City,Nyarugenge,4,Urban,19,Ordinary HH,262.5804,252.1639912786828,,,,,120,120,0,,40,0,40,,40,0,0,,0,0,420,,60,30,90,,0,0,0,,60,120,60,,0,0,0,,1,0,0,,,,,,0,0,0,,0,1,0,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,1,0,0,,,,,,0,0,0,,0
