Cluster,HI05,HH_WT,C_hhweight,PROVINCE,DISTRICT,HI04,TYPEHH,E00A,E01A,E01B,E01C,E02A,E02B,E02C,E03A,E03B,E03C,E04A,E04B,E04C,E05A,E05B,E05C,E06A,E06B,E06C,E07A,E07B,E07C,E08A,E08B,E09A,E09B,E09C,E10A,E10B,E10C,E11A,E11B,E13A,E13B,E14A,E14B,E15A,E15B,E16A,E16B,E17A,E17B,E18A,E18B,E20A,E20B,E21A,E21B,E22A,E22B,E23A,E23B,E24A,E24B,E26A,E26B,E27A,E27B,E28A,E28B,E29A,E29B,E30A,E30B,E30C,E31A,E31B,E31C,E32A,E32B,E32C,E33A,E33B,E34A,E34B,E35A,E35B,E37A,E37B,E38,E38_OTHER,F01,F10,F10_OTHER
3,4,179.50659375,170.7883849440346,Kigali City,Nyarugenge,Rural,Ordinary HH,0,4,Yes,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Yes,0,,,0,,,0,,,0,,0,,0,,0,,With other garbage,,01,Solar powered light source,
3,5,1566.603,1370.326394831265,Kigali City,Nyarugenge,Rural,Ordinary HH,1,0,,,0,,,8,Yes,12,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Yes,1,Yes,2,0,,,0,,,0,,0,,0,,0,,In nature,,01,Electric lighting,
3,6,179.50659375,170.7883849440346,Kigali City,Nyarugenge,Rural,Ordinary HH,0,0,,,0,,,0,,,0,,,1,Yes,2,1,Yes,5,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,0,,0,,0,,"Other, specify",Have no appliances out of use,01,No children currently enrolled in school/studying only during daylight,
3,7,179.50659375,170.7883849440346,Kigali City,Nyarugenge,Rural,Ordinary HH,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,0,,0,,0,,"Other, specify",No electricity,01,Kerosene lamp,
3,8,179.50659375,170.7883849440346,Kigali City,Nyarugenge,Rural,Ordinary HH,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,Yes,0,,,0,,,0,,,0,,0,,0,,0,,"Other, specify",Have no appliances out of use,01,Kerosene lamp,
3,9,1566.603,1370.326394831265,Kigali City,Nyarugenge,Rural,Ordinary HH,0,3,Yes,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Yes,0,,,0,,,0,,,0,,0,,0,,0,,"Other, specify",Have no appliances out of use,01,Electric lighting,
3,10,1566.603,1370.326394831265,Kigali City,Nyarugenge,Rural,Ordinary HH,0,4,No,8,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,0,,0,,0,,Kept at home,,02,Electric lighting,
3,11,1566.603,1370.326394831265,Kigali City,Nyarugenge,Rural,Ordinary HH,1,0,,,0,,,8,Yes,4,0,,,2,Yes,4,1,Yes,2,0,,,1,Yes,0,,,0,,,0,,1,Yes,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Yes,1,Yes,0,,,1,Yes,2,0,,,0,,0,,0,,0,,With other garbage,,02,Electric lighting,
3,12,1566.603,1370.326394831265,Kigali City,Nyarugenge,Rural,Ordinary HH,0,0,,,0,,,6,Yes,4,0,,,0,,,1,Yes,2,0,,,1,Yes,0,,,0,,,0,,1,Yes,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Yes,1,Yes,1,Yes,0,,,1,Yes,4,0,,,0,,0,,0,,0,,With other garbage,,02,Electric lighting,
3,13,1566.603,1370.326394831265,Kigali City,Nyarugenge,Rural,Ordinary HH,1,0,,,0,,,8,Yes,4,0,,,0,,,1,Yes,3,1,Yes,8,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Yes,0,,,1,Yes,12,0,,,0,,0,,0,,0,,With other garbage,,02,Electric lighting,
