PROVINCE,DISTRICT,Cluster,HI04,HI05,TYPEHH,HH_WT,C_hhweight,I01,I17A,I18A,I19A,I17B,I18B,I19B,I17C,I18C,I19C,I17D,I18D,I19D,J01,J02,J03,J03_OTHER,J04,J05,J06,J06_OTHER
Kigali City,Nyarugenge,3,Rural,3,Ordinary HH,1566.603,1370.326394831265,01,120,Weekly,30,,,,,,,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,3,Rural,4,Ordinary HH,179.50659375,170.7883849440346,01,240,Weekly,30,240,Weekly,0,240,Weekly,0,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,3,Rural,5,Ordinary HH,1566.603,1370.326394831265,01,180,Weekly,45,0,,,180,Weekly,45,,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,3,Rural,6,Ordinary HH,179.50659375,170.7883849440346,01,,,,,,,150,Daily,40,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,3,Rural,7,Ordinary HH,179.50659375,170.7883849440346,01,200,Weekly,60,0,,,0,,,0,,,No,,, ,No,,, 
Kigali City,Nyarugenge,3,Rural,8,Ordinary HH,179.50659375,170.7883849440346,01,0,,,,,,60,Monthly,0,0,,,No,,, ,No,,, 
Kigali City,Nyarugenge,3,Rural,9,Ordinary HH,1566.603,1370.326394831265,01,90,Daily,20,,,,,,,0,,,No,,, ,No,,, 
Kigali City,Nyarugenge,3,Rural,10,Ordinary HH,1566.603,1370.326394831265,02,60,Daily,30,0,,,0,,,0,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,3,Rural,11,Ordinary HH,1566.603,1370.326394831265,02,45,Weekly,15,0,,,0,,,0,,,No,,, ,No,,, 
Kigali City,Nyarugenge,3,Rural,12,Ordinary HH,1566.603,1370.326394831265,02,180,Monthly,10,0,,,0,,,,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,3,Rural,13,Ordinary HH,1566.603,1370.326394831265,02,45,Weekly,15,0,,,0,,,0,,,No,,, ,No,,, 
Kigali City,Nyarugenge,3,Rural,14,Ordinary HH,179.50659375,170.7883849440346,01,60,Daily,10,,,,0,,,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,3,Rural,15,Ordinary HH,179.50659375,170.7883849440346,02,120,Weekly,5,,,,0,,,0,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,3,Rural,16,Ordinary HH,1566.603,1370.326394831265,02,180,Daily,30,0,,,0,,,0,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,3,Rural,17,Ordinary HH,1566.603,1370.326394831265,02,120,Daily,30,0,,,0,,,0,,,No,,, ,No,,, 
Kigali City,Nyarugenge,3,Rural,18,Ordinary HH,1566.603,1370.326394831265,02,127,Daily,7,0,,,0,,,0,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,4,Urban,1,Ordinary HH,262.5804,252.1639912786828,01,0,,,0,,,,,,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,4,Urban,2,Ordinary HH,262.5804,252.1639912786828,02,90,Weekly,60,,,,60,Weekly,45,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,4,Urban,3,Ordinary HH,262.5804,252.1639912786828,02,90,Monthly,0,0,,,0,,,0,,,No,,, ,No,,, 
Kigali City,Nyarugenge,4,Urban,4,Ordinary HH,262.5804,252.1639912786828,03,45,Daily,0,10,Weekly,10,0,,,0,,,No,,, ,No,,, 
Kigali City,Nyarugenge,4,Urban,5,Ordinary HH,262.5804,252.1639912786828,03,0,,,0,,,0,,,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,4,Urban,6,Ordinary HH,262.5804,252.1639912786828,02,0,,,20,Weekly,0,20,Monthly,10,15,Monthly,20,No,,, ,No,,, 
Kigali City,Nyarugenge,4,Urban,7,Ordinary HH,262.5804,252.1639912786828,02,0,,,0,,,0,,,0,,,No,,, ,No,,, 
Kigali City,Nyarugenge,4,Urban,8,Ordinary HH,262.5804,252.1639912786828,01,0,,,,,,,,,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,4,Urban,9,Ordinary HH,262.5804,252.1639912786828,02,15,Weekly,15,0,,,0,,,0,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,4,Urban,10,Ordinary HH,262.5804,252.1639912786828,01,0,,,0,,,0,,,0,,,No,,, ,No,,, 
Kigali City,Nyarugenge,4,Urban,11,Ordinary HH,262.5804,252.1639912786828,02,120,Weekly,45,120,Weekly,30,60,Weekly,45,30,Weekly,60,Yes,LPG/cooking gas stove,, ,No,,, 
Kigali City,Nyarugenge,4,Urban,12,Ordinary HH,262.5804,252.1639912786828,05,45,Weekly,120,30,Weekly,45,45,Weekly,120,,,,Yes,LPG/cooking gas stove,, ,No,,, 
Kigali City,Nyarugenge,4,Urban,13,Ordinary HH,262.5804,252.1639912786828,01,0,,,0,,,,,,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,4,Urban,15,Ordinary HH,262.5804,252.1639912786828,02,60,Weekly,60,,,,45,Weekly,120,90,Weekly,45,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,4,Urban,17,Ordinary HH,262.5804,252.1639912786828,01,25,Weekly,15,,,,0,,,,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,4,Urban,19,Ordinary HH,262.5804,252.1639912786828,02,10,Monthly,5,15,Monthly,0,0,,,10,Monthly,0,Yes,Separate solid fuel stove,Charcoal, ,No,,, 
Kigali City,Nyarugenge,4,Urban,21,Ordinary HH,262.5804,252.1639912786828,05,,,,,,,120,Weekly,120,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,4,Urban,22,Ordinary HH,262.5804,252.1639912786828,01,0,,,,,,0,,,0,,,No,,, ,No,,, 
