PROVINCE,DISTRICT,Cluster,HI04,HI05,TYPEHH,HH_WT,C_hhweight,F11,F12,F13,F14,F15,F16
Kigali City,Nyarugenge,3,Rural,17,Ordinary HH,1566.603,1370.326394831265,Paraffin,No,,,,
Kigali City,Nyarugenge,3,Rural,18,Ordinary HH,1566.603,1370.326394831265,Candle,No,,,,
Kigali City,Nyarugenge,4,Urban,1,Ordinary HH,262.5804,252.1639912786828,Gasoline,No,,,,
Kigali City,Nyarugenge,4,Urban,2,Ordinary HH,262.5804,252.1639912786828,Another fuel-based lamp,No,,,,
Kigali City,Nyarugenge,4,Urban,3,Ordinary HH,262.5804,252.1639912786828,Paraffin,No,,,,
Kigali City,Nyarugenge,4,Urban,4,Ordinary HH,262.5804,252.1639912786828,Biogas,No,,,,
Kigali City,Nyarugenge,4,Urban,5,Ordinary HH,262.5804,252.1639912786828,Another fuel-based lamp,No,,,,
Kigali City,Nyarugenge,4,Urban,6,Ordinary HH,262.5804,252.1639912786828,Kerosene,No,,,,
Kigali City,Nyarugenge,4,Urban,7,Ordinary HH,262.5804,252.1639912786828,Paraffin,No,,,,
Kigali City,Nyarugenge,4,Urban,8,Ordinary HH,262.5804,252.1639912786828,Kerosene,No,,,,
Kigali City,Nyarugenge,4,Urban,9,Ordinary HH,262.5804,252.1639912786828,Biogas,No,,,,
Kigali City,Nyarugenge,4,Urban,10,Ordinary HH,262.5804,252.1639912786828,Kerosene,No,,,,
Kigali City,Nyarugenge,4,Urban,11,Ordinary HH,262.5804,252.1639912786828,Paraffin,No,,,,
Kigali City,Nyarugenge,4,Urban,12,Ordinary HH,262.5804,252.1639912786828,Candle,No,,,,
Kigali City,Nyarugenge,4,Urban,13,Ordinary HH,262.5804,252.1639912786828,Paraffin,No,,,,
Kigali City,Nyarugenge,4,Urban,15,Ordinary HH,262.5804,252.1639912786828,Gasoline,No,,,,
Kigali City,Nyarugenge,4,Urban,17,Ordinary HH,262.5804,252.1639912786828,Gasoline,No,,,,
Kigali City,Nyarugenge,4,Urban,19,Ordinary HH,262.5804,252.1639912786828,Biogas,No,,,,
Kigali City,Nyarugenge,4,Urban,21,Ordinary HH,262.5804,252.1639912786828,Candle,No,,,,
Kigali City,Nyarugenge,4,Urban,22,Ordinary HH,262.5804,252.1639912786828,Another fuel-based lamp,No,,,,
Kigali City,Nyarugenge,5,Urban,1,Ordinary HH,35.61450627615064,34.95401376104183,Candle,No,,,,
Kigali City,Nyarugenge,5,Urban,2,Ordinary HH,35.61450627615064,34.95401376104183,Biogas,No,,,,
Kigali City,Nyarugenge,5,Urban,3,Ordinary HH,35.61450627615064,34.95401376104183,Another fuel-based lamp,No,,,,
Kigali City,Nyarugenge,5,Urban,4,Ordinary HH,35.61450627615064,34.95401376104183,Another fuel-based lamp,No,,,,
Kigali City,Nyarugenge,5,Urban,5,Ordinary HH,187.074,200.8102328927649,Gasoline,No,,,,
Kigali City,Nyarugenge,5,Urban,6,Ordinary HH,187.074,200.8102328927649,Biogas,No,,,,
Kigali City,Nyarugenge,5,Urban,7,Ordinary HH,187.074,200.8102328927649,Biogas,No,,,,
Kigali City,Nyarugenge,5,Urban,8,Ordinary HH,187.074,200.8102328927649,Another fuel-based lamp,No,,,,
Kigali City,Nyarugenge,5,Urban,9,Ordinary HH,187.074,200.8102328927649,Paraffin,No,,,,
Kigali City,Nyarugenge,5,Urban,10,Ordinary HH,187.074,200.8102328927649,Paraffin,No,,,,
Kigali City,Nyarugenge,5,Urban,11,Ordinary HH,187.074,200.8102328927649,Biogas,No,,,,
Kigali City,Nyarugenge,5,Urban,12,Ordinary HH,187.074,200.8102328927649,Another fuel-based lamp,No,,,,
Kigali City,Nyarugenge,5,Urban,14,Ordinary HH,187.074,200.8102328927649,Paraffin,No,,,,
Kigali City,Nyarugenge,5,Urban,16,Ordinary HH,187.074,200.8102328927649,Another fuel-based lamp,No,,,,
Kigali City,Nyarugenge,5,Urban,17,Ordinary HH,187.074,200.8102328927649,Paraffin,No,,,,
Kigali City,Nyarugenge,5,Urban,18,Ordinary HH,187.074,200.8102328927649,Gasoline,No,,,,
Kigali City,Nyarugenge,5,Urban,20,Ordinary HH,187.074,200.8102328927649,Biogas,No,,,,
Kigali City,Nyarugenge,6,Urban,1,Ordinary HH,504.2603,574.4683135258695,Kerosene,No,,,,
Kigali City,Nyarugenge,6,Urban,2,Ordinary HH,504.2603,574.4683135258695,Kerosene,No,,,,
Kigali City,Nyarugenge,6,Urban,3,Ordinary HH,504.2603,574.4683135258695,Candle,Yes,4,14,500,
Kigali City,Nyarugenge,6,Urban,4,Ordinary HH,504.2603,574.4683135258695,Kerosene,No,,,,
Kigali City,Nyarugenge,6,Urban,5,Ordinary HH,504.2603,574.4683135258695,Another fuel-based lamp,No,,,,
Kigali City,Nyarugenge,6,Urban,6,Ordinary HH,504.2603,574.4683135258695,Kerosene,No,,,,
Kigali City,Nyarugenge,6,Urban,7,Ordinary HH,504.2603,574.4683135258695,Paraffin,No,,,,
Kigali City,Nyarugenge,6,Urban,8,Ordinary HH,504.2603,574.4683135258695,Diesel,No,,,,
Kigali City,Nyarugenge,6,Urban,9,Ordinary HH,504.2603,574.4683135258695,Biogas,No,,,,
Kigali City,Nyarugenge,6,Urban,10,Ordinary HH,504.2603,574.4683135258695,Diesel,No,,,,
Kigali City,Nyarugenge,6,Urban,11,Ordinary HH,504.2603,574.4683135258695,Another fuel-based lamp,No,,,,
Kigali City,Nyarugenge,6,Urban,12,Ordinary HH,504.2603,574.4683135258695,Biogas,No,,,,
Kigali City,Nyarugenge,6,Urban,13,Ordinary HH,504.2603,574.4683135258695,Biogas,No,,,,
Kigali City,Nyarugenge,6,Urban,14,Ordinary HH,504.2603,574.4683135258695,Paraffin,No,,,,
Kigali City,Nyarugenge,6,Urban,15,Ordinary HH,504.2603,574.4683135258695,Biogas,No,,,,
Kigali City,Nyarugenge,6,Urban,16,Ordinary HH,504.2603,574.4683135258695,Diesel,No,,,,
Kigali City,Nyarugenge,6,Urban,17,Ordinary HH,504.2603,574.4683135258695,Paraffin,No,,,,
Kigali City,Nyarugenge,6,Urban,18,Ordinary HH,504.2603,574.4683135258695,Diesel,No,,,,
Kigali City,Nyarugenge,7,Urban,1,Ordinary HH,191.7855,188.5642477994629,Kerosene,No,,,,
Kigali City,Nyarugenge,7,Urban,2,Ordinary HH,191.7855,188.5642477994629,Paraffin,No,,,,
Kigali City,Nyarugenge,7,Urban,3,Ordinary HH,191.7855,188.5642477994629,Candle,No,,,,
Kigali City,Nyarugenge,7,Urban,4,Ordinary HH,191.7855,188.5642477994629,Another fuel-based lamp,No,,,,
Kigali City,Nyarugenge,7,Urban,5,Ordinary HH,191.7855,188.5642477994629,Kerosene,No,,,,
Kigali City,Nyarugenge,7,Urban,6,Ordinary HH,191.7855,188.5642477994629,Paraffin,No,,,,
Kigali City,Nyarugenge,7,Urban,7,Ordinary HH,191.7855,188.5642477994629,Kerosene,No,,,,
Kigali City,Nyarugenge,7,Urban,8,Ordinary HH,191.7855,188.5642477994629,Kerosene,No,,,,
Kigali City,Nyarugenge,7,Urban,9,Ordinary HH,191.7855,188.5642477994629,Gasoline,No,,,,
Kigali City,Nyarugenge,7,Urban,10,Ordinary HH,191.7855,188.5642477994629,Candle,No,,,,
Kigali City,Nyarugenge,7,Urban,11,Ordinary HH,191.7855,188.5642477994629,Kerosene,No,,,,
Kigali City,Nyarugenge,7,Urban,12,Ordinary HH,191.7855,188.5642477994629,Diesel,No,,,,
Kigali City,Nyarugenge,7,Urban,13,Ordinary HH,191.7855,188.5642477994629,Gasoline,No,,,,
Kigali City,Nyarugenge,7,Urban,14,Ordinary HH,191.7855,188.5642477994629,Biogas,No,,,,
